,Gene description,Gene name,Chromosome/scaffold name,mitochondrial,hemoglobin,sex_linked,canonical_neuronal,glutamatergic
ENSRNOG00000066169,,,1,False,False,False,False,False
ENSRNOG00000064641,,,4,False,False,False,False,False
ENSRNOG00000033395,olfactory receptor 473 [Source:RGD Symbol;Acc:1332991],Olr473,3,False,False,False,False,False
ENSRNOG00000066660,,,3,False,False,False,False,False
ENSRNOG00000070168,olfactory receptor 56 [Source:RGD Symbol;Acc:1333218],Olr56,1,False,False,False,False,False
ENSRNOG00000070901,immunity-related GTPase Q [Source:RGD Symbol;Acc:1309409],Irgq,1,False,False,False,False,False
ENSRNOG00000064338,,,2,False,False,False,False,False
ENSRNOG00000018029,"double C2-like domains, gamma [Source:RGD Symbol;Acc:1307473]",Doc2g,1,False,False,False,False,False
ENSRNOG00000031391,"CEA cell adhesion molecule 16, tectorial membrane component [Source:RGD Symbol;Acc:1306386]",Ceacam16,1,False,False,False,False,False
ENSRNOG00000055342,U7 small nuclear RNA [Source:RGD Symbol;Acc:15009387],U7,1,False,False,False,False,False
ENSRNOG00000068698,,,1,False,False,False,False,False
ENSRNOG00000064173,,,2,False,False,False,False,False
ENSRNOG00000067904,small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41279059],SNORD115,1,False,False,False,False,False
ENSRNOG00000063979,U4 spliceosomal RNA [Source:RFAM;Acc:RF00015],U4,1,False,False,False,False,False
ENSRNOG00000064851,,,1,False,False,False,False,False
ENSRNOG00000067593,,,3,False,False,False,False,False
ENSRNOG00000063562,,,1,False,False,False,False,False
ENSRNOG00000050129,,AABR07000137.1,1,False,False,False,False,False
ENSRNOG00000056886,microRNA 291b [Source:RGD Symbol;Acc:4888545],Mir291b,1,False,False,False,False,False
ENSRNOG00000029996,,AABR07054368.1,3,False,False,False,False,False
ENSRNOG00000032625,zinc finger protein 235-like [Source:RGD Symbol;Acc:7737177],AC118165.1,1,False,False,False,False,False
ENSRNOG00000029315,similar to SUMO/sentrin specific protease 5 [Source:RGD Symbol;Acc:1582860],AC099294.1,1,False,False,False,False,False
ENSRNOG00000016356,glutamic-oxaloacetic transaminase 1 [Source:RGD Symbol;Acc:2721],Got1,1,False,False,False,False,False
ENSRNOG00000028288,clarin 3 [Source:RGD Symbol;Acc:1305043],Clrn3,1,False,False,False,False,False
ENSRNOG00000062643,olfactory receptor 760 [Source:RGD Symbol;Acc:1333521],Olr760,3,False,False,False,False,False
ENSRNOG00000015810,thyroid hormone receptor interactor 13 [Source:RGD Symbol;Acc:1308516],Trip13,1,False,False,False,False,False
ENSRNOG00000013596,DIMT1 rRNA methyltransferase and ribosome maturation factor [Source:RGD Symbol;Acc:1311752],Dimt1,2,False,False,False,False,False
ENSRNOG00000022863,leucine rich repeat and Ig domain containing 4 [Source:RGD Symbol;Acc:1562025],Lingo4,2,False,False,False,False,False
ENSRNOG00000017538,leucine rich repeat containing 27 [Source:RGD Symbol;Acc:1559981],Lrrc27,1,False,False,False,False,False
ENSRNOG00000009377,negative elongation factor complex member B [Source:RGD Symbol;Acc:1307832],Nelfb,3,False,False,False,False,False
ENSRNOG00000069093,,,2,False,False,False,False,False
ENSRNOG00000010349,ghrelin and obestatin prepropeptide [Source:RGD Symbol;Acc:632283],Ghrl,4,False,False,False,False,False
ENSRNOG00000027204,microtubule-associated protein 6 [Source:RGD Symbol;Acc:61804],Map6,1,False,False,False,False,False
ENSRNOG00000058651,,AABR07004871.1,1,False,False,False,False,False
ENSRNOG00000070886,,,1,False,False,False,False,False
ENSRNOG00000056005,U7 small nuclear RNA [Source:RGD Symbol;Acc:15009897],U7,1,False,False,False,False,False
ENSRNOG00000069847,,,2,False,False,False,False,False
ENSRNOG00000035453,microRNA 3596c [Source:RGD Symbol;Acc:4888580],Mir3596c,1,False,False,False,False,False
ENSRNOG00000063396,small nucleolar RNA SNORD115 [Source:RGD Symbol;Acc:41321796],SNORD115,1,False,False,False,False,False
ENSRNOG00000062736,,,2,False,False,False,False,False
ENSRNOG00000015499,serine incorporator 4 [Source:RGD Symbol;Acc:1566077],Serinc4,3,False,False,False,False,False
ENSRNOG00000065199,homeobox protein Hox-A10-like [Source:RGD Symbol;Acc:6491746],Hoxa10,4,False,False,False,False,False
ENSRNOG00000068709,,,1,False,False,False,False,False
ENSRNOG00000069410,olfactory receptor 218 [Source:RGD Symbol;Acc:1332846],Olr218,1,False,False,False,False,False
ENSRNOG00000014903,zinc finger FYVE-type containing 27 [Source:RGD Symbol;Acc:735177],Zfyve27,1,False,False,False,False,False
ENSRNOG00000055477,U1 spliceosomal RNA [Source:RGD Symbol;Acc:15009491],U1,1,False,False,False,False,False
ENSRNOG00000066157,,,1,False,False,False,False,False
ENSRNOG00000069518,,,3,False,False,False,False,False
ENSRNOG00000059537,U4 spliceosomal RNA [Source:RGD Symbol;Acc:15012634],U4,1,False,False,False,False,False
ENSRNOG00000070280,,,2,False,False,False,False,False
ENSRNOG00000064304,olfactory receptor 361 [Source:RGD Symbol;Acc:1333423],Olr361,1,False,False,False,False,False
ENSRNOG00000035530,microRNA 192 [Source:RGD Symbol;Acc:2325427],Mir192,1,False,False,False,False,False
ENSRNOG00000021051,cytohesin 2 [Source:RGD Symbol;Acc:620398],Cyth2,1,False,False,False,False,False
ENSRNOG00000069804,small nucleolar RNA SNORD116 [Source:RGD Symbol;Acc:41081049],SNORD116,1,False,False,False,False,False
